Batch Test Top 10 Simulation Parameters for Problem 2
Total Parameter Combinations:, 6480

Best Simulations (when averaged over 4 runs):
Rank (Sim #), Avg Convergence Epoch, Particles, Inertia, Cognition, Social, Maximum Velocity
1, 30, 100, 0.100000, 0.500000, 1.750000, 7.000000
2, 35, 100, 0.250000, 0.500000, 1.750000, 5.000000
3, 36, 40, 0.250000, 0.500000, 1.750000, 5.000000
4, 36, 100, 0.100000, 0.500000, 2.000000, 5.000000
5, 37, 30, 0.100000, 1.000000, 2.000000, 5.000000
6, 40, 100, 0.250000, 0.500000, 2.000000, 5.000000
7, 41, 50, 0.250000, 1.000000, 2.000000, 5.000000
8, 41, 100, 0.100000, 0.500000, 1.750000, 5.000000
9, 44, 40, 0.250000, 1.000000, 1.750000, 5.000000
10, 44, 100, 0.250000, 0.500000, 1.750000, 7.000000

Sim Number, X/Y Error, Epoch:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,
1, x,, 22.553403, 23.789377, 16.785941, 11.981755, 8.666366, 6.310344, 5.121308, 4.545575, 3.848767, 3.450212, 3.942128, 3.241678, 2.719171, 2.778909, 2.015506, 1.874138, 1.005200, 1.775039, 2.024381, 0.945945, 0.649072, 0.885060, 0.318299, 0.151867, 0.055590, 0.003041, 0.005627, 0.002377, 0.001101, 0.000274, 
, y,, 20.070622, 14.308628, 10.293224, 7.063328, 4.739970, 3.721115, 2.628476, 2.058738, 1.709459, 1.493744, 1.657540, 1.370321, 0.939430, 1.180888, 0.961992, 0.717731, 0.217567, 0.508265, 0.362255, 0.192522, 0.134724, 0.179378, 0.064392, 0.031015, 0.011243, 0.000824, 0.001217, 0.000621, 0.000275, 0.000072, 
2, x,, 26.327003, 22.947002, 19.764530, 21.573235, 18.222299, 15.033895, 12.201125, 10.592295, 8.605750, 6.901931, 5.558869, 4.641185, 3.413781, 3.134554, 3.310779, 3.414891, 2.073735, 2.442965, 2.049640, 1.942189, 1.714031, 0.837857, 0.490020, 0.387350, 0.688394, 0.637736, 0.779424, 0.319140, 0.560038, 0.549471, 0.350355, 0.195593, 0.111596, 0.072498, 0.001323, 0.019032, 0.009921, 0.008636, 0.001319, 0.002375, 0.001867, 0.000523, 
, y,, 21.235984, 17.974623, 15.765826, 11.377762, 8.935615, 7.182360, 5.485742, 4.363138, 3.411552, 2.689202, 2.229354, 1.813217, 1.349719, 1.370193, 1.557545, 1.505388, 1.018902, 0.979301, 0.937880, 0.978287, 0.554528, 0.646259, 0.455228, 0.397755, 0.753610, 0.701359, 0.857492, 0.350816, 0.616211, 0.604719, 0.385565, 0.215262, 0.122815, 0.079788, 0.001438, 0.020945, 0.010919, 0.009504, 0.001451, 0.002614, 0.002055, 0.000575, 
3, x,, 25.820304, 22.073603, 18.821322, 15.798734, 13.740036, 11.839376, 9.476838, 8.052858, 6.773827, 5.415495, 3.963410, 3.513185, 2.388228, 1.449951, 1.129123, 1.013870, 1.446841, 0.218633, 0.563443, 0.414257, 0.460027, 0.270960, 0.056361, 0.026155, 0.005656, 0.006099, 0.003511, 0.001845, 0.001411, 0.000925, 
