Problem:, 1
Experiment:, Vary_Inertia

SIMULATION INFORMATION
Seed: 2415275953
Convergence Epoch:, 18
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999692, 20.000121, 20.000063, 20.000447, 20.000076, 19.999864, 19.999945, 19.999969, 20.001547, 20.000179, 20.000465, 20.000232, 19.999433, 20.000349, 19.999783, 19.999842, 20.000058, 19.999999, 20.000000, 19.999981, 20.000160, 19.999891, 19.999996, 20.000115, 19.999973, 20.002785, 20.000023, 19.997469, 20.000134, 20.000097, 20.000204, 19.998856, 20.000246, 19.999232, 20.000018, 20.000030, 19.999890, 19.999140, 20.000283, 19.999147, 19.999532, 19.999948, 19.999464, 19.999101, 19.999692, 20.000154, 19.999873, 19.999138, 19.999825, 19.999866, 
Y Coordinate:, 6.999526, 7.000064, 6.999861, 6.999730, 6.999820, 6.999361, 7.000038, 7.000004, 6.998899, 7.000225, 6.999114, 6.999632, 6.999771, 6.999382, 6.999929, 6.999766, 7.000161, 6.999975, 6.999955, 6.999937, 7.000495, 7.000075, 7.000296, 7.000197, 6.999935, 6.999750, 6.999892, 6.999549, 7.000111, 7.000076, 6.999972, 6.999821, 6.998838, 6.999292, 7.000011, 7.000036, 6.999767, 7.000107, 6.999996, 7.000327, 6.999094, 6.999937, 7.000105, 6.999806, 7.000224, 7.000064, 6.999810, 7.000258, 7.000192, 6.999913, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 23.150332, 20.285812, 38.796664, 43.277294, 0
1, 17.042205, 12.670144, 64.109543, 25.378385, 0
2, 9.045493, 6.925775, 83.695923, 11.528724, 0
3, 4.725805, 4.105933, 90.200126, 6.929557, 0
4, 2.504034, 2.229988, 94.716190, 3.736218, 0
5, 1.989652, 1.500841, 96.229424, 2.666200, 0
6, 1.381501, 1.121993, 97.523228, 1.751342, 0
7, 0.552122, 0.532781, 98.875428, 0.795193, 0
8, 0.428255, 0.365474, 99.206151, 0.561336, 0
9, 0.223189, 0.166892, 99.605302, 0.279094, 0
10, 0.194248, 0.143024, 99.670898, 0.232710, 0
11, 0.123729, 0.092446, 99.802928, 0.139351, 0
12, 0.044950, 0.035810, 99.921072, 0.055811, 0
13, 0.040721, 0.028604, 99.933616, 0.046941, 0
14, 0.022211, 0.014421, 99.963602, 0.025737, 0.02
15, 0.015196, 0.012785, 99.976693, 0.016480, 0
16, 0.007646, 0.005436, 99.987431, 0.008888, 0.04
17, 0.004482, 0.003727, 99.991896, 0.005730, 0.1
18, 0.003003, 0.001937, 99.995711, 0.003033, 0.34
19, 0.001459, 0.001174, 99.997462, 0.001794, 0.58
20, 0.000967, 0.000868, 99.998241, 0.001244, 0.62


SIMULATION INFORMATION
Seed: 2278411086
Convergence Epoch:, 26
Particles:, 50
Inertia:, 0.400000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999931, 20.000951, 19.999762, 20.000160, 19.999911, 19.999945, 20.000105, 20.000192, 20.000155, 20.000240, 19.999920, 19.999571, 20.001411, 19.999921, 19.999917, 19.997448, 19.999431, 19.999841, 20.000090, 20.000102, 20.000867, 19.999983, 20.000472, 19.999977, 20.000004, 20.000031, 19.999994, 20.003946, 19.999831, 19.997459, 20.000128, 20.000123, 20.000026, 19.999737, 19.999776, 19.998008, 20.000389, 19.999873, 19.999994, 20.000061, 20.000142, 19.999564, 20.000949, 19.998334, 20.000066, 19.999865, 20.000012, 20.000083, 20.000949, 20.000025, 
