Problem:, 1
Experiment:, Vary_Cognition

SIMULATION INFORMATION
Seed: 3747441315
Convergence Epoch:, 19
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 20.000061, 19.999952, 20.000016, 19.999802, 20.000002, 20.000157, 19.999942, 19.999960, 20.000384, 19.999948, 19.999987, 19.999886, 19.999806, 20.000008, 20.000007, 19.999992, 20.000071, 20.000022, 20.000056, 19.999955, 19.999953, 19.999996, 20.000337, 19.999989, 19.999932, 19.999990, 20.000516, 19.999983, 19.999989, 19.999986, 19.999978, 19.999791, 20.000001, 19.999999, 19.999832, 19.999884, 20.000071, 20.000041, 20.000020, 20.000017, 20.005597, 19.999464, 20.003098, 19.999870, 19.999931, 19.999924, 19.999997, 20.000060, 19.998853, 20.000023, 
Y Coordinate:, 6.999986, 7.000030, 6.999994, 7.000421, 7.000002, 6.999777, 7.000094, 6.999988, 7.000137, 6.999918, 7.000147, 7.000153, 6.999916, 7.000333, 6.999997, 6.999995, 7.000028, 6.999963, 7.000013, 6.999980, 6.999982, 6.999999, 7.000405, 7.000001, 7.000449, 7.000011, 7.000755, 7.000108, 7.000063, 6.999993, 6.999989, 7.000027, 6.999996, 6.999995, 7.000139, 7.000068, 6.999959, 7.000067, 7.000100, 6.999984, 6.995623, 7.000359, 6.998668, 7.000482, 6.999998, 7.000109, 6.999993, 7.000130, 6.999470, 6.999985, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 24.484102, 22.110104, 41.181076, 41.591260, 0
1, 16.075642, 15.298120, 65.185736, 24.617402, 0
2, 7.541138, 7.074733, 85.557331, 10.212509, 0
3, 4.573624, 4.259697, 92.548152, 5.269252, 0
4, 2.286652, 2.208391, 97.030261, 2.099923, 0
5, 1.559766, 1.242918, 98.516707, 1.048847, 0
6, 0.338675, 0.246788, 99.544800, 0.321875, 0
7, 0.202400, 0.143126, 99.770373, 0.162371, 0
8, 0.068815, 0.070386, 99.900963, 0.070030, 0
9, 0.059915, 0.048813, 99.943911, 0.039661, 0
10, 0.038216, 0.028945, 99.969761, 0.021382, 0.16
11, 0.009519, 0.005102, 99.991933, 0.005704, 0.3
12, 0.006782, 0.003620, 99.994783, 0.003689, 0.54
13, 0.002057, 0.001603, 99.997616, 0.001686, 0.64
14, 0.000906, 0.000726, 99.998976, 0.000724, 0.82


SIMULATION INFORMATION
Seed: 1373566505
Convergence Epoch:, 17
Particles:, 50
Inertia:, 0.100000
Cognition:, 2.000000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999500, 20.000002, 20.000006, 20.000989, 19.999999, 19.999942, 20.000034, 19.999990, 19.999993, 19.999992, 19.997639, 19.999911, 19.999989, 19.999995, 19.999920, 19.999994, 20.000000, 20.000164, 19.999987, 20.000129, 20.000000, 20.000001, 20.000000, 20.000007, 20.000000, 19.999986, 19.999995, 19.999963, 20.000733, 20.000071, 20.000006, 20.000034, 19.999997, 20.000408, 20.000604, 19.999875, 20.000007, 20.000110, 20.000495, 19.999999, 20.000008, 19.999999, 20.000021, 19.999957, 19.999375, 20.000003, 20.001056, 19.999940, 20.000001, 20.000005, 
Y Coordinate:, 6.999704, 7.000018, 7.000008, 6.999941, 6.999979, 7.000009, 7.000014, 7.000002, 7.000001, 6.999996, 7.000395, 6.999750, 6.999998, 7.000004, 6.999784, 6.999993, 7.000002, 6.999806, 7.000025, 7.000422, 6.999998, 7.000000, 7.000000, 7.000005, 6.999996, 7.000000, 7.000001, 7.000032, 7.000585, 6.999944, 7.000006, 6.999908, 7.000023, 7.000070, 6.999388, 6.999907, 6.999877, 6.999948, 7.000584, 7.000003, 6.999969, 6.999982, 7.000008, 6.999958, 6.999661, 6.999997, 7.001347, 6.999977, 7.000000, 6.999995, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 23.269848, 19.579000, 44.862436, 38.988145, 0
1, 17.043976, 11.148532, 68.382028, 22.357283, 0
2, 10.699843, 6.962331, 83.611477, 11.588436, 0
3, 5.894199, 4.141292, 91.758951, 5.827301, 0
4, 3.908851, 2.947045, 95.512308, 3.173278, 0
5, 1.825041, 1.259473, 97.871677, 1.504951, 0
6, 0.798768, 0.850904, 99.006045, 0.702832, 0
7, 0.401477, 0.459100, 99.502622, 0.351699, 0.02
8, 0.124297, 0.120425, 99.800953, 0.140748, 0
9, 0.103776, 0.090992, 99.863115, 0.096792, 0.02
10, 0.050758, 0.032037, 99.943214, 0.040154, 0.14
11, 0.034264, 0.023690, 99.966341, 0.023800, 0.22
12, 0.020972, 0.013467, 99.982837, 0.012136, 0.28
13, 0.012734, 0.009640, 99.989409, 0.007489, 0.56
14, 0.004181, 0.004592, 99.996530, 0.002454, 0.74
15, 0.002263, 0.002797, 99.998042, 0.001385, 0.78
16, 0.000679, 0.000768, 99.999244, 0.000535, 0.84


SIMULATION INFORMATION
Seed: 1787517921
Convergence Epoch:, 19
Particles:, 50
Inertia:, 0.100000
Cognition:, 2.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999988, 20.000020, 20.000004, 20.000051, 20.000209, 19.999997, 19.999408, 20.000013, 19.999975, 20.004199, 20.000128, 20.000011, 20.000061, 20.000014, 20.000039, 20.000055, 20.000028, 20.000001, 19.999986, 20.000004, 20.000021, 20.000044, 19.999968, 20.000024, 19.999881, 20.000037, 19.999998, 20.000013, 20.000014, 19.999168, 19.999970, 20.000003, 19.999975, 19.997414, 19.999964, 20.000015, 19.999996, 20.000004, 20.000001, 20.000002, 20.000003, 19.999999, 20.000003, 19.999932, 20.000037, 20.000000, 20.000005, 20.000017, 20.000123, 20.000006, 
Y Coordinate:, 7.000011, 7.000025, 7.000004, 7.000016, 6.999397, 7.000006, 6.999585, 6.999991, 7.000010, 6.998117, 6.999962, 7.000001, 6.999977, 7.000011, 6.999990, 7.000047, 6.999982, 7.000005, 6.999987, 6.999998, 6.999968, 7.000044, 7.000021, 7.000004, 6.999864, 7.000023, 7.000013, 6.999993, 6.999988, 6.999808, 7.000015, 6.999999, 6.999987, 6.997154, 6.999962, 7.000000, 7.000004, 7.000000, 6.999994, 6.999989, 7.000000, 7.000005, 6.999995, 6.999898, 6.999985, 7.000001, 7.000001, 7.000009, 6.999950, 7.000004, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 23.804683, 19.631547, 38.756460, 43.305722, 0
1, 16.026329, 14.193320, 64.976780, 24.765156, 0
2, 9.254746, 8.086497, 83.446677, 11.704967, 0
3, 6.752743, 5.362548, 91.747643, 5.835298, 0
4, 5.688036, 4.048541, 94.619930, 3.804284, 0
5, 2.587936, 2.337600, 97.042063, 2.091578, 0
6, 0.716722, 0.544490, 98.961428, 0.734382, 0
7, 0.406351, 0.295444, 99.439167, 0.396569, 0
8, 0.287454, 0.176745, 99.670776, 0.232796, 0
9, 0.231365, 0.144419, 99.782768, 0.153606, 0
10, 0.095689, 0.060573, 99.907769, 0.065217, 0.02
11, 0.087567, 0.047793, 99.935957, 0.045285, 0.16
12, 0.045320, 0.026514, 99.967065, 0.023289, 0.24
13, 0.038990, 0.019176, 99.978207, 0.015410, 0.44
14, 0.036172, 0.017296, 99.982777, 0.012179, 0.56
15, 0.021046, 0.012114, 99.989400, 0.007496, 0.72
16, 0.006385, 0.003442, 99.996675, 0.002351, 0.82
17, 0.002932, 0.000658, 99.998454, 0.001093, 0.86
18, 0.000507, 0.000339, 99.999643, 0.000253, 0.96


SIMULATION INFORMATION
Seed: 4001495394
Convergence Epoch:, 53
Particles:, 50
Inertia:, 0.100000
Cognition:, 3.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000004, 20.000000, 20.000000, 19.999990, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 19.995083, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000012, 20.000000, 19.993814, 20.000000, 
Y Coordinate:, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 6.999996, 7.000000, 7.000000, 6.998783, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.001393, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000005, 7.000000, 6.995799, 7.000000, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 25.450780, 22.283195, 36.809976, 44.682095, 0
1, 16.988407, 16.519170, 61.329814, 27.343951, 0
2, 12.490968, 11.326695, 76.736197, 16.449993, 0
3, 4.859689, 5.030982, 90.879166, 6.449403, 0
4, 2.619777, 3.284258, 95.190579, 3.400774, 0
5, 1.572270, 2.401120, 97.028315, 2.101299, 0
6, 0.841066, 1.570945, 98.456271, 1.091581, 0
7, 0.943849, 2.743226, 98.449720, 1.096213, 0
8, 0.686561, 1.421217, 99.129993, 0.615188, 0
9, 0.590664, 1.892580, 99.229130, 0.545087, 0
10, 0.323585, 0.506061, 99.672179, 0.231804, 0.02
11, 0.116248, 0.180966, 99.861105, 0.098214, 0.06
12, 0.190281, 0.085418, 99.884931, 0.081366, 0.26
13, 0.313079, 0.098433, 99.845603, 0.109176, 0.46
14, 0.058295, 0.055349, 99.946670, 0.037710, 0.54
15, 0.111935, 0.050419, 99.929873, 0.049587, 0.66
16, 0.077733, 0.090258, 99.935215, 0.045810, 0.74
17, 0.114068, 0.213513, 99.888169, 0.079076, 0.78
18, 0.052370, 0.111227, 99.939403, 0.042849, 0.8
19, 0.083658, 0.086927, 99.937423, 0.044248, 0.82
20, 0.169540, 0.190941, 99.877344, 0.086731, 0.84
21, 0.434997, 0.372476, 99.733875, 0.188179, 0.86
22, 0.486808, 0.933874, 99.583748, 0.294335, 0.88
23, 0.797488, 0.807690, 99.495914, 0.356443, 0.88
24, 1.522621, 0.855413, 99.252863, 0.528306, 0.88
25, 0.845611, 0.325953, 99.665266, 0.236693, 0.9
26, 1.464657, 0.523933, 99.465043, 0.378272, 0.9
27, 2.976402, 1.101781, 98.883996, 0.789134, 0.9
28, 2.292598, 0.845093, 99.144532, 0.604907, 0.92
29, 1.578040, 0.543314, 99.466620, 0.377157, 0.9
30, 0.843039, 0.313269, 99.677214, 0.228244, 0.92
31, 0.261995, 0.095550, 99.898037, 0.072099, 0.92
32, 0.376778, 0.142054, 99.851243, 0.105187, 0.92
33, 0.551591, 0.188156, 99.828609, 0.121192, 0.9
34, 1.621600, 0.551468, 99.507120, 0.348519, 0.9
35, 2.073992, 0.706491, 99.362735, 0.450614, 0.92
