Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,15,0.756317,0.935599,13,'11111110010011010011'
2,16,0.702119,0.973336,14,'11111111010011110010'
2,17,0.741524,0.978112,15,'11111111011011110010'
2,18,0.679398,0.973336,14,'11111111010011110010'
2,19,0.776845,0.967155,12,'11111111001001011000'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.101465,0.921327,14,'11111101111010010011'
3,1,0.398489,0.924103,15,'11111101111111001100'
3,2,0.704232,0.924103,15,'11111101111111001100'
3,3,0.711038,0.991753,14,'11111111110010011100'
3,4,0.768685,0.924174,15,'11111101111111010100'
3,5,0.754784,0.924103,15,'11111101111111001100'
3,6,0.7752,0.924103,15,'11111101111111001100'
3,7,0.788053,0.924192,16,'11111101111111010110'
3,8,0.704847,0.924174,15,'11111101111111010100'
3,9,0.676373,0.906159,15,'11111101011111010110'
3,10,0.714552,0.836094,13,'11111011011101010100'
3,11,0.756201,0.836094,13,'11111011011101010100'
3,12,0.710968,0.905025,13,'11111101011101010100'
3,13,0.628154,0.905077,14,'11111101011101011010'
3,14,0.719814,0.916245,12,'11111101110001010100'
3,15,0.755595,0.923322,15,'11111101111101110100'
3,16,0.655331,0.906141,14,'11111101011111010100'
3,17,0.779646,0.979029,14,'11111111011101010100'
3,18,0.780535,0.979048,15,'11111111011101010110'
3,19,0.7554,0.998456,17,'11111111111101011110'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.156712,0.851522,14,'11111011111010110001'
4,1,0.504303,0.99681,15,'11111111111010110001'
4,2,0.719449,0.99681,15,'11111111111010110001'
4,3,0.809384,0.997523,17,'11111111111011111100'
4,4,0.696238,0.99681,15,'11111111111010110001'
4,5,0.712279,0.999247,16,'11111111111110110001'
4,6,0.721441,0.99681,15,'11111111111010110001'
4,7,0.828783,0.996829,16,'11111111111010110011'
4,8,0.821013,0.999094,15,'11111111111110100001'
4,9,0.920242,0.999247,16,'11111111111110110001'
4,10,0.854319,0.999247,16,'11111111111110110001'
4,11,0.919593,0.999857,17,'11111111111111110001'
4,12,0.804126,0.999361,18,'11111111111110111101'
4,13,0.690955,0.958537,14,'11111110111010110001'
4,14,0.83641,0.942249,15,'11111110011110110101'
4,15,0.769331,0.942249,15,'11111110011110110101'
4,16,0.761967,0.92429,15,'11111101111111100001'
4,17,0.703896,0.960734,13,'11111110111110100000'
4,18,0.76657,0.999085,14,'11111111111110100000'
4,19,0.834838,0.999085,14,'11111111111110100000'
,,,,,
Simulation Parameters:,,,,,
Seed:,740433694,,,,
Population Size:,30,,,,
Generations:,30,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0808688,0.517582,16,'11101111101011101111'
0,1,0.344994,0.987699,17,'11111111101011101111'
0,2,0.399071,0.98769,16,'11111111101011101110'
0,3,0.441394,0.98769,16,'11111111101011101110'
0,4,0.478569,0.978458,15,'11111111011100010111'
0,5,0.341572,0.966554,13,'11111111001000010111'
0,6,0.5348,0.987765,16,'11111111101011110110'
0,7,0.696015,0.987765,16,'11111111101011110110'
0,8,0.503356,0.97249,14,'11111111010010010111'
0,9,0.768261,0.977225,14,'11111111011010010011'
0,10,0.772216,0.977215,13,'11111111011010010010'
0,11,0.731826,0.980508,16,'11111111011111110010'
0,12,0.665373,0.977215,13,'11111111011010010010'
0,13,0.675351,0.977215,13,'11111111011010010010'
0,14,0.647369,0.978112,15,'11111111011011110010'
0,15,0.704422,0.978112,15,'11111111011011110010'
0,16,0.825378,0.975796,16,'11111111010111111010'
0,17,0.859209,0.994995,16,'11111111110111110010'
0,18,0.810072,0.980508,16,'11111111011111110010'
