Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,19,0.688861,0.922071,16,'11111101111011100111'
3,20,0.772582,0.997323,17,'11111111111011100111'
3,21,0.700779,0.999762,18,'11111111111111100111'
3,22,0.818205,0.999762,18,'11111111111111100111'
3,23,0.790055,0.999762,18,'11111111111111100111'
3,24,0.648958,0.999695,15,'11111111111111100000'
3,25,0.701222,0.999695,15,'11111111111111100000'
3,26,0.645794,0.986794,15,'11111111101010001111'
3,27,0.640074,0.967859,12,'11111111001010100100'
3,28,0.570317,0.990116,18,'11111111101111101111'
3,29,0.554155,0.990116,18,'11111111101111101111'
3,30,0.712883,0.989814,17,'11111111101111001111'
3,31,0.778922,0.990079,17,'11111111101111101011'
3,32,0.672197,0.991545,13,'11111111110010000110'
3,33,0.626294,0.989814,17,'11111111101111001111'
3,34,0.757402,0.989814,17,'11111111101111001111'
3,35,0.670608,0.988303,16,'11111111101100101111'
3,36,0.671838,0.991914,15,'11111111110010101101'
3,37,0.685267,0.991914,15,'11111111110010101101'
3,38,0.622836,0.899921,11,'11111101010100001001'
3,39,0.654747,0.899851,10,'11111101010100000001'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.0379243,0.601887,13,'11110011010100111110'
4,1,0.262616,0.603889,11,'11110011011010001001'
4,2,0.442117,0.824037,14,'11111011000101111101'
4,3,0.317525,0.823532,13,'11111011000100111110'
4,4,0.527237,0.831769,14,'11111011010100111110'
4,5,0.589505,0.848466,15,'11111011110100111110'
4,6,0.713385,0.848466,15,'11111011110100111110'
4,7,0.748427,0.836402,15,'11111011011101111010'
4,8,0.730929,0.973895,14,'11111111010100101110'
4,9,0.725063,0.853149,16,'11111011111101110110'
4,10,0.817808,0.844624,14,'11111011101101101010'
4,11,0.772204,0.853588,16,'11111011111110101011'
4,12,0.643569,0.853745,17,'11111011111110111110'
4,13,0.744716,0.959759,15,'11111110111100110110'
4,14,0.802807,0.955064,14,'11111110110100110110'
4,15,0.758296,0.945817,15,'11111110100100111111'
4,16,0.712364,0.945817,15,'11111110100100111111'
4,17,0.716965,0.945817,15,'11111110100100111111'
4,18,0.70805,0.995698,15,'11111111111000111100'
4,19,0.623649,0.941066,13,'11111110011100110010'
4,20,0.703521,0.851003,14,'11111011111001110010'
4,21,0.646273,0.976319,13,'11111111011000110010'
4,22,0.596775,0.976319,13,'11111111011000110010'
4,23,0.670246,0.971848,12,'11111111010001010010'
4,24,0.705041,0.898404,12,'11111101010001011010'
4,25,0.728625,0.940343,13,'11111110011011100010'
4,26,0.754502,0.942737,16,'11111110011111101011'
4,27,0.653406,0.820758,15,'11111010111111100011'
4,28,0.572082,0.818716,14,'11111010111011100011'
4,29,0.524736,0.804303,13,'11111010011111000011'
4,30,0.574155,0.812793,15,'11111010101111111001'
4,31,0.732037,0.871039,14,'11111100011111010110'
4,32,0.697872,0.942502,14,'11111110011111010001'
4,33,0.656245,0.942611,16,'11111110011111011101'
4,34,0.64404,0.942557,16,'11111110011111010111'
4,35,0.465642,0.942575,15,'11111110011111011001'
4,36,0.425127,0.951,15,'11111110101101111001'
4,37,0.528463,0.952167,16,'11111110101111111001'
4,38,0.664081,0.950991,14,'11111110101101111000'
4,39,0.726531,0.947287,13,'11111110100111100001'
,,,,,
Simulation Parameters:,,,,,
Seed:,2503950986,,,,
Population Size:,30,,,,
Generations:,50,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0801561,0.850195,11,'11111011111000010000'
0,1,0.228742,0.947133,12,'11111110100111010000'
0,2,0.604451,0.995584,13,'11111111111000110000'
0,3,0.615384,0.852637,14,'11111011111100111000'
0,4,0.750086,0.996819,15,'11111111111010110010'
0,5,0.784735,0.996515,14,'11111111111010010010'
0,6,0.697242,0.996819,15,'11111111111010110010'
0,7,0.516271,0.998951,15,'11111111111110010010'
0,8,0.728658,0.998951,15,'11111111111110010010'
0,9,0.724247,0.998951,15,'11111111111110010010'
0,10,0.827719,0.998951,15,'11111111111110010010'
0,11,0.856055,0.996515,14,'11111111111010010010'
0,12,0.851887,0.996591,15,'11111111111010011010'
0,13,0.856982,0.996591,15,'11111111111010011010'
0,14,0.805919,0.997428,16,'11111111111011110010'
0,15,0.673173,0.997133,16,'11111111111011010011'
0,16,0.825616,0.997428,16,'11111111111011110010'
0,17,0.785921,0.995612,15,'11111111111000110011'
0,18,0.714619,0.998037,15,'11111111111100110010'
0,19,0.582105,0.998037,15,'11111111111100110010'
0,20,0.660163,0.998037,15,'11111111111100110010'
0,21,0.589698,0.998037,15,'11111111111100110010'
0,22,0.540534,0.992037,15,'11111111110010111010'
0,23,0.538548,0.992491,15,'11111111110011101010'
0,24,0.616534,0.992491,15,'11111111110011101010'
0,25,0.832709,0.992529,16,'11111111110011101110'
0,26,0.796319,0.997352,16,'11111111111011101010'
0,27,0.719403,0.997352,16,'11111111111011101010'
0,28,0.835698,0.996135,15,'11111111111001101010'
0,29,0.927715,0.997352,16,'11111111111011101010'
0,30,0.89846,0.997352,16,'11111111111011101010'
0,31,0.892408,0.99857,16,'11111111111101101010'
0,32,0.846592,0.998723,17,'11111111111101111010'
0,33,0.816411,0.998723,17,'11111111111101111010'
0,34,0.882979,0.99857,16,'11111111111101101010'
0,35,0.917757,0.99979,17,'11111111111111101010'
0,36,0.843956,0.993856,16,'11111111110101111010'
0,37,0.80188,0.994501,17,'11111111110110111110'
0,38,0.754038,0.998132,16,'11111111111100111100'
0,39,0.815137,0.993287,16,'11111111110100111110'
0,40,0.789933,0.992984,15,'11111111110100011110'
0,41,0.781594,0.999066,17,'11111111111110011110'
0,42,0.763802,0.998913,16,'11111111111110001110'
0,43,0.839068,0.994482,16,'11111111110110111100'
0,44,0.79541,0.994407,15,'11111111110110110100'
0,45,0.856879,0.979928,15,'11111111011110110100'
0,46,0.834709,0.979928,15,'11111111011110110100'
0,47,0.807766,0.999275,16,'11111111111110110100'
0,48,0.796408,0.997904,14,'11111111111100100100'
0,49,0.805973,0.980396,16,'11111111011111100110'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0289382,0.330772,8,'11100101001100000100'
1,1,0.173335,0.467146,12,'11101101001111010001'
1,2,0.311922,0.896181,13,'11111101001101011001'
1,3,0.299266,0.676958,11,'11110110001101000110'
1,4,0.376495,0.897287,14,'11111101001111011001'
1,5,0.356661,0.897287,14,'11111101001111011001'
1,6,0.366693,0.897218,13,'11111101001111010001'
1,7,0.668538,0.897287,14,'11111101001111011001'
1,8,0.754185,0.988511,14,'11111111101101000101'
1,9,0.682607,0.913824,12,'11111101101101000001'
1,10,0.810554,0.969462,13,'11111111001101010001'
1,11,0.733625,0.969314,12,'11111111001101000001'
1,12,0.665048,0.914951,13,'11111101101111000001'
1,13,0.656702,0.932711,12,'11111110001110010001'
1,14,0.69804,0.932711,12,'11111110001110010001'
1,15,0.756989,0.931565,11,'11111110001100010001'
1,16,0.674623,0.931923,13,'11111110001100111001'
1,17,0.635915,0.896457,14,'11111101001101111001'
1,18,0.628223,0.897365,13,'11111101001111100010'
1,19,0.639923,0.897365,13,'11111101001111100010'
1,20,0.655746,0.870307,16,'11111100011101111111'
1,21,0.648866,0.941707,15,'11111110011101111001'
1,22,0.617349,0.960375,16,'11111110111101111001'
1,23,0.66585,0.960375,16,'11111110111101111001'
1,24,0.805517,0.960393,17,'11111110111101111011'
1,25,0.774038,0.991138,15,'11111111110001011011'
1,26,0.687165,0.991138,15,'11111111110001011011'
1,27,0.807234,0.991176,16,'11111111110001011111'
1,28,0.688788,0.991441,16,'11111111110001111011'
1,29,0.710388,0.991441,16,'11111111110001111011'
1,30,0.788658,0.993866,17,'11111111110101111011'
1,31,0.809634,0.961608,19,'11111110111111111111'
1,32,0.813294,0.98063,19,'11111111011111111111'
1,33,0.865681,0.961571,18,'11111110111111111011'
1,34,0.812036,0.999952,19,'11111111111111111011'
1,35,0.79341,0.961497,17,'11111110111111110011'
1,36,0.738804,0.981661,14,'11111111100001101101'
1,37,0.774852,0.98168,15,'11111111100001101111'
1,38,0.878493,0.995546,14,'11111111111000101100'
1,39,0.668929,0.984027,14,'11111111100101101001'
1,40,0.787546,0.996163,16,'11111111111001101101'
1,41,0.901639,0.996163,16,'11111111111001101101'
1,42,0.928098,0.996163,16,'11111111111001101101'
1,43,0.887547,0.991327,16,'11111111110001101111'
1,44,0.802792,0.996182,17,'11111111111001101111'
1,45,0.697463,0.996182,17,'11111111111001101111'
1,46,0.706268,0.995802,15,'11111111111001000111'
1,47,0.795663,0.995878,16,'11111111111001001111'
1,48,0.795299,0.995802,15,'11111111111001000111'
1,49,0.804348,0.995935,15,'11111111111001010101'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.104407,0.977729,14,'11111111011011001001'
2,1,0.48427,0.980124,15,'11111111011111001001'
2,2,0.485065,0.980162,16,'11111111011111001101'
2,3,0.526573,0.980162,16,'11111111011111001101'
2,4,0.557039,0.84803,12,'11111011110100001001'
2,5,0.633902,0.851621,16,'11111011111010111101'
2,6,0.67762,0.851621,16,'11111011111010111101'
2,7,0.657,0.847339,14,'11111011110010110101'
2,8,0.686393,0.851613,15,'11111011111010111100'
2,9,0.70272,0.956226,15,'11111110110110110101'
2,10,0.746156,0.853439,15,'11111011111110011001'
2,11,0.7743,0.851597,15,'11111011111010111010'
2,12,0.731531,0.99199,15,'11111111110010110101'
2,13,0.759188,0.853753,18,'11111011111110111111'
2,14,0.742289,0.851621,16,'11111011111010111101'
2,15,0.741787,0.994511,18,'11111111110110111111'
2,16,0.779604,0.984676,15,'11111111100110101110'
2,17,0.802008,0.984836,17,'11111111100110111111'
2,18,0.776486,0.991772,15,'11111111110010011110'
2,19,0.697897,0.984817,16,'11111111100110111101'
2,20,0.739719,0.99324,15,'11111111110100111001'
2,21,0.674066,0.994511,18,'11111111110110111111'
2,22,0.63789,0.994511,18,'11111111110110111111'
2,23,0.598959,0.984704,14,'11111111100110110001'
2,24,0.566514,0.984704,14,'11111111100110110001'
2,25,0.614349,0.910436,16,'11111101100110111111'
2,26,0.665065,0.91945,17,'11111101110110111111'
2,27,0.742951,0.91915,15,'11111101110110011101'
2,28,0.640656,0.990249,18,'11111111101111111101'
2,29,0.800818,0.990249,18,'11111111101111111101'
2,30,0.656524,0.989663,18,'11111111101110111111'
2,31,0.799961,0.992084,17,'11111111110010111111'
2,32,0.76949,0.992084,17,'11111111110010111111'
2,33,0.811493,0.983633,16,'11111111100100111111'
2,34,0.706987,0.982431,16,'11111111100010111111'
2,35,0.707393,0.989361,17,'11111111101110011111'
2,36,0.736431,0.994198,16,'11111111110110011110'
2,37,0.713286,0.989342,16,'11111111101110011101'
2,38,0.648928,0.879235,15,'11111100101110011111'
2,39,0.588531,0.852364,15,'11111011111100010111'
2,40,0.668375,0.852959,17,'11111011111101011111'
2,41,0.649599,0.853158,17,'11111011111101110111'
2,42,0.681379,0.981455,14,'11111111100001010111'
2,43,0.642867,0.981455,14,'11111111100001010111'
2,44,0.565832,0.848737,16,'11111011110101011111'
2,45,0.533718,0.841883,13,'11111011101000011011'
2,46,0.54047,0.892334,13,'11111101000110011011'
2,47,0.583268,0.892334,13,'11111101000110011011'
2,48,0.569102,0.872127,12,'11111100100001010111'
2,49,0.513683,0.911839,15,'11111101101001011111'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0346544,0.375338,9,'11101000000110101001'
3,1,0.182111,0.731028,10,'11111000000110101001'
3,2,0.403442,0.954652,12,'11111110110100001001'
3,3,0.526574,0.954945,13,'11111110110100101001'
3,4,0.444292,0.992785,13,'11111111110100001001'
3,5,0.632455,0.992785,13,'11111111110100001001'
3,6,0.695237,0.992785,13,'11111111110100001001'
3,7,0.712971,0.992785,13,'11111111110100001001'
3,8,0.762079,0.992814,13,'11111111110100001100'
3,9,0.853198,0.983501,13,'11111111100100110001'
3,10,0.850608,0.983501,13,'11111111100100110001'
3,11,0.876589,0.983351,12,'11111111100100100001'
3,12,0.852599,0.954798,13,'11111110110100011001'
3,13,0.834716,0.974184,14,'11111111010101001101'
3,14,0.828195,0.993468,14,'11111111110101010001'
3,15,0.822395,0.993468,14,'11111111110101010001'
3,16,0.802651,0.993468,14,'11111111110101010001'
3,17,0.774118,0.991043,13,'11111111110001010001'
3,18,0.710537,0.991043,13,'11111111110001010001'
3,19,0.787015,0.973774,12,'11111111010100100001'
3,20,0.81158,0.976328,14,'11111111011000110011'
3,21,0.782372,0.97156,13,'11111111010000110011'
3,22,0.844661,0.971988,12,'11111111010001100001'
3,23,0.85493,0.990807,13,'11111111110000111000'
3,24,0.881594,0.990807,13,'11111111110000111000'
3,25,0.818102,0.992018,14,'11111111110010111000'
3,26,0.788594,0.992624,15,'11111111110011111000'
3,27,0.830359,0.995052,16,'11111111110111111000'
3,28,0.898233,0.995052,16,'11111111110111111000'
3,29,0.748631,0.9949,15,'11111111110111101000'
3,30,0.75399,0.995052,16,'11111111110111111000'
3,31,0.664089,0.978122,16,'11111111011011110011'
3,32,0.718922,0.997181,15,'11111111111011011000'
3,33,0.787738,0.995964,14,'11111111111001011000'
3,34,0.748618,0.997285,16,'11111111111011100011'
3,35,0.682305,0.997285,16,'11111111111011100011'
3,36,0.755716,0.996049,14,'11111111111001100001'
3,37,0.719254,0.986361,13,'11111111101001100001'
3,38,0.668972,0.986361,13,'11111111101001100001'
3,39,0.735834,0.997533,18,'11111111111011111101'
3,40,0.780903,0.997523,17,'11111111111011111100'
3,41,0.82363,0.997476,18,'11111111111011110111'
3,42,0.700235,0.997285,16,'11111111111011100011'
3,43,0.606852,0.999476,16,'11111111111111001001'
3,44,0.565049,0.967248,12,'11111111001001100010'
3,45,0.575126,0.967248,12,'11111111001001100010'
3,46,0.597687,0.962501,10,'11111111000001100000'
3,47,0.587564,0.968415,12,'11111111001011100000'
3,48,0.566093,0.987567,14,'11111111101011100001'
3,49,0.570469,0.823805,10,'11111011000101100000'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.0989106,0.940416,14,'11111110011011101010'
4,1,0.420913,0.975964,12,'11111111011000001100'
4,2,0.620647,0.975964,12,'11111111011000001100'
4,3,0.622323,0.98558,13,'11111111101000001110'
4,4,0.776074,0.98558,13,'11111111101000001110'
4,5,0.780407,0.976842,14,'11111111011001101010'
4,6,0.732098,0.976562,13,'11111111011001001100'
4,7,0.689353,0.976562,13,'11111111011001001100'
4,8,0.74454,0.978019,14,'11111111011011101000'
4,9,0.736868,0.977767,15,'11111111011011001101'
4,10,0.773588,0.940289,14,'11111110011011011100'
4,11,0.752145,0.952505,13,'11111110110000011110'
4,12,0.798499,0.978019,14,'11111111011011101000'
4,13,0.770472,0.978038,15,'11111111011011101010'
4,14,0.698748,0.968489,13,'11111111001011101000'
4,15,0.66092,0.959061,15,'11111110111011101010'
4,16,0.806523,0.997352,16,'11111111111011101010'
4,17,0.726669,0.99979,17,'11111111111111101010'
4,18,0.778896,0.978038,15,'11111111011011101010'
4,19,0.76628,0.978047,16,'11111111011011101011'
4,20,0.7933,0.976851,15,'11111111011001101011'
4,21,0.786592,0.991204,13,'11111111110001100010'
4,22,0.70325,0.956712,15,'11111110110111101010'
4,23,0.777763,0.978038,15,'11111111011011101010'
4,24,0.805024,0.978047,16,'11111111011011101011'
4,25,0.731202,0.85172,14,'11111011111011001001'
4,26,0.703041,0.853844,15,'11111011111111001010'
4,27,0.781895,0.997352,16,'11111111111011101010'
4,28,0.735891,0.980284,16,'11111111011111011010'
4,29,0.761987,0.977739,14,'11111111011011001010'
4,30,0.782825,0.977739,14,'11111111011011001010'
4,31,0.746887,0.977963,14,'11111111011011100010'
4,32,0.638254,0.980134,15,'11111111011111001010'
4,33,0.643542,0.977748,15,'11111111011011001011'
4,34,0.719103,0.997048,15,'11111111111011001010'
4,35,0.689795,0.976468,12,'11111111011001000010'
4,36,0.756111,0.977776,15,'11111111011011001110'
4,37,0.726705,0.977776,15,'11111111011011001110'
4,38,0.716872,0.976543,13,'11111111011001001010'
4,39,0.78524,0.978861,13,'11111111011101000010'
4,40,0.631501,0.977963,14,'11111111011011100010'
4,41,0.718322,0.995755,13,'11111111111001000010'
4,42,0.754413,0.977664,13,'11111111011011000010'
4,43,0.661103,0.976627,14,'11111111011001010011'
4,44,0.683981,0.976758,13,'11111111011001100001'
4,45,0.663293,0.969629,14,'11111111001101100011'
4,46,0.698929,0.969685,14,'11111111001101101001'
4,47,0.791667,0.969629,14,'11111111001101100011'
4,48,0.742472,0.950553,12,'11111110101101001000'
4,49,0.769933,0.969471,13,'11111111001101010010'
